brand,name,seller,old_price,new_price,reviews_rating,reviews_total
LENOVO,"Notebook Lenovo IdeaPad 1 15IAU7 Intel Core i7-1255U HD 15.6"" Intel Iris Xe 512GB SSD 12GB RAM Windows 11- 82VY000PBR",Por Mobcom ,6.099,3.929,4.8,(151)
LENOVO,"Notebook Gamer Lenovo Loq 15irh8 Intel Core I5 12450H 16gb RAM 512GB SSD RTX 2050 Windows 11 Home Tela 15,6"" Full HD 83EU0001BR",Por Mobcom ,5.999,4.724,4.9,(1120)
LENOVO,"Notebook Lenovo Ideapad 1i Intel Core I3 - 1215U, 4GB RAM, 256GB SSD, Windows 11 Home, Tela 15.6'' - 82VY000TBR Cor cinza",Por Loi Brasil ,3.072,2.249,4.8,(753)
,"Notebook Positivo Vision C15 Lumina Bar Celeron, 8GB 128GB eMMC, Tela 15.6"" HD Antirreflexo, Windows 11, Tecla Link, Cinza",Por 123 Comprou ,2.299,1.709,4.7,(397)
ACER,"Notebook Acer Aspire 3 Intel Core I3 - N305, 8G RAM, 256GB SSD, Windows 11 Home, Tela 15,6"" Full HD - A315-510P-34XC",Por Mercado Livre ,2.865,2.355,4.8,(6101)
SAMSUNG,Notebook Samsung Galaxy Book4 Windows 11 Home Intel Core I3 8gb 256gb Ssd 15.6'' Full Hd Led 1.55 Kg Grafite,Por Vikings ,4.331,2.647,4.9,(1345)
LENOVO,"Notebook Lenovo Ideapad 1 Intel Core I3 1215U 8GB RAM 256GB SSD Windows 11 Home Tela 15,6"" 82VY000SBR",Por Vikings ,3.915,2.359,4.8,(3178)
ACER,Notebook Acer Aspire 5 A514-54-57hc I5 8gb Ssd 512gb 14  Fhd Ips Windows 11 Pro,Por 2Eletro ,3.677,3.099,4.8,(167)
ACER,Notebook Gamer Acer Nitro V15 ANV15-51-57WS Core I5 Lx 8gb 512gb Ssd,Por Acer Brasil ,5.999,4.649,4.8,(1647)
,"Notebook Vaio Fe15, Amd® Ryzen 5, 8gb 256gb Ssd, Tela 15,6'' Full Hd Antirreflexo, Linux - Cinza Grafite,  Vjfe59f11x-b1711h",Por 123 Comprou ,3.998,2.429,4.8,(624)
,"Notebook Positivo Vision C15 Lumina Bar Celeron, 8GB 128GB eMMC, Tela 15.6"" HD Antirreflexo, Windows 11, Tecla Link, Cinza",Por 123 Comprou ,2.299,1.709,4.7,(397)
,Notebook Ultra Intel Core I5 8gb Ram 256gb Ssd 14 Pol -ul154 Cor Preto,Por 123 Comprou ,3.765,2.033,4.8,(30)
,Notebook Vaio Fe15 Ryzen7 16gb 512gb Ssd Linux Prata Titânio,Por Vaio ,4.299,3.099,4.7,(394)
ACER,"Notebook Acer Aspire 5 Intel Core I5 - 12450H 8GB RAM 256GB SSD Windows 11 Home Tela 15,6"" Full HD A515-57-55B8",Por Mercado Livre ,3.264,2.847,4.8,(4591)
DELL,Notebook Dell Inspiron I15-i120k-a25p I5 8gb 512gb 15.6 W11,Por Dell ,3.299,330,4.8,(474)
LENOVO,"Notebook Lenovo Ideapad 1i Intel Core I3 - 1215U, 4GB RAM, 256GB SSD, Windows 11 Home, Tela 15.6'' - 82VY000TBR Cor cinza",Por Vikings ,3.581,2.249,4.8,(753)
DELL,Dell G15 i5-13450HX Rtx 3050 512 GB Ssd 8 GB Ddr5 120 Hz Win11 cinza escuro,,7.105,6.323,5.0,(2)
ACER,"Notebook Acer Aspire 5 Intel Core I5 12450H 8GB RAM 512GB SSD Windows 11 Home Tela 15,6"" Full HD A515-57-57T3",Por Acer Brasil ,3.499,349,4.8,(907)
